id,indicator,type,description,severity,first_seen,confidence
28,secure129.org,domain,Auto-generated indicator,medium,2024-12-27,0.71
29,malicious9693.org,domain,Auto-generated indicator,low,2021-05-27,0.98
30,secure726.com,domain,Auto-generated indicator,medium,2024-06-19,0.79
31,26.119.21.239,ip,Auto-generated indicator,low,2024-11-17,0.61
32,20.222.64.226,ip,Auto-generated indicator,medium,2023-02-06,0.71
33,a9aa07084da00272620768ed4475062c,hash,Auto-generated indicator,low,2024-05-17,0.45
34,17.98.204.135,ip,Auto-generated indicator,high,2024-05-22,0.7
35,accounts2482.info,domain,Auto-generated indicator,medium,2024-06-21,0.79
36,cd52c7dc6ead81a6cd4af4c4f04d700e,hash,Auto-generated indicator,medium,2022-10-03,0.98
37,login8495.org,domain,Auto-generated indicator,low,2025-05-23,0.78
38,portal8415.org,domain,Auto-generated indicator,low,2022-05-31,0.72
39,da391b110d3ae63d7acfb8c9db512086,hash,Auto-generated indicator,medium,2024-12-07,0.54
40,104e8dbf6f657e95285a3ce40c8e0c4f,hash,Auto-generated indicator,high,2025-11-10,0.83
41,service4920.net,domain,Auto-generated indicator,medium,2024-12-02,0.97
42,215.223.214.254,ip,Auto-generated indicator,medium,2026-03-14,0.68
43,50933ba6c797dd3495697d12f552c306,hash,Auto-generated indicator,low,2022-12-18,0.85
44,ef617673fb71cb63782d2a6ef70d7ead,hash,Auto-generated indicator,low,2024-03-14,0.66
45,3bbce25bab40a93e1cad2b618636daac,hash,Auto-generated indicator,high,2026-03-17,0.61
46,163.156.249.213,ip,Auto-generated indicator,high,2022-07-22,0.54
47,d2d533eed53b0344e9ec9ff9c80a2552,hash,Auto-generated indicator,low,2025-03-09,0.66
48,39.109.75.58,ip,Auto-generated indicator,low,2025-01-16,0.44
49,secure9302.org,domain,Auto-generated indicator,medium,2022-11-23,0.85
50,secure8808.net,domain,Auto-generated indicator,critical,2023-07-23,0.48
51,31.77.9.105,ip,Auto-generated indicator,medium,2022-05-13,0.74
52,50.205.229.251,ip,Auto-generated indicator,low,2021-07-17,0.42
53,login9646.org,domain,Auto-generated indicator,low,2021-07-21,0.66
54,18.151.220.169,ip,Auto-generated indicator,low,2021-08-14,0.92
55,accounts5552.info,domain,Auto-generated indicator,high,2022-08-29,0.4
56,183.168.136.249,ip,Auto-generated indicator,low,2025-07-01,0.58
57,f83455a948f18d3a82898acc1e6b5bd5,hash,Auto-generated indicator,medium,2022-11-04,0.75
58,0936996bed90481da01800c38044d62c,hash,Auto-generated indicator,medium,2025-11-28,0.76
59,116.51.224.238,ip,Auto-generated indicator,high,2025-10-26,0.87
60,8d73c502918cbc5aaccb950b0eba39de,hash,Auto-generated indicator,high,2022-04-05,0.4
61,7e8d84133b519273928847ec7f45e661,hash,Auto-generated indicator,medium,2023-02-13,0.59
62,a0cee72a7a521556d35ecede7692931a,hash,Auto-generated indicator,critical,2024-07-13,0.82
63,suspicious6766.com,domain,Auto-generated indicator,medium,2025-08-06,0.66
64,portal463.org,domain,Auto-generated indicator,low,2024-02-20,0.72
65,suspicious7151.com,domain,Auto-generated indicator,low,2021-04-06,0.92
66,benign4146.info,domain,Auto-generated indicator,medium,2022-04-23,0.5
67,service6616.com,domain,Auto-generated indicator,medium,2025-07-22,0.64
68,c4d1679922f8681d00192fa943e8e3c0,hash,Auto-generated indicator,low,2022-01-24,0.49
69,update5212.org,domain,Auto-generated indicator,medium,2023-11-22,0.73
70,benign9916.info,domain,Auto-generated indicator,medium,2025-04-03,0.97
71,suspicious6471.net,domain,Auto-generated indicator,low,2026-01-25,0.99
72,205.94.3.45,ip,Auto-generated indicator,critical,2024-03-06,0.66
73,f220e50a2c525db1247f64b5d52d78fd,hash,Auto-generated indicator,low,2022-03-15,0.42
74,benign5238.com,domain,Auto-generated indicator,low,2021-03-22,0.78
75,secure9097.org,domain,Auto-generated indicator,critical,2021-11-23,0.43
76,portal4271.info,domain,Auto-generated indicator,low,2025-03-10,0.67
77,1ddc51414da25485e71c7cdd0a56f380,hash,Auto-generated indicator,high,2024-04-26,0.41
78,secure3844.com,domain,Auto-generated indicator,medium,2022-04-09,0.8
79,malicious9191.com,domain,Auto-generated indicator,high,2022-07-07,0.76
80,91.0.127.229,ip,Auto-generated indicator,medium,2023-03-23,0.56
81,244.156.207.181,ip,Auto-generated indicator,low,2022-01-07,0.65
82,115.18.246.210,ip,Auto-generated indicator,high,2024-04-12,0.74
83,6e42b75bff91977d998683503cec2ecb,hash,Auto-generated indicator,low,2023-05-08,0.9
84,14.201.76.93,ip,Auto-generated indicator,medium,2026-01-18,0.73
85,login3599.com,domain,Auto-generated indicator,medium,2021-05-22,0.61
86,update871.net,domain,Auto-generated indicator,low,2022-06-15,0.65
87,service9289.org,domain,Auto-generated indicator,low,2024-05-28,0.85
88,21ebf8ae69e67e942283da3b681ad2be,hash,Auto-generated indicator,low,2024-01-19,0.74
89,secure3475.com,domain,Auto-generated indicator,low,2025-09-11,0.61
90,457b9a3b05326b595ee0db92af1d7b41,hash,Auto-generated indicator,low,2026-03-16,0.45
91,accounts6991.org,domain,Auto-generated indicator,high,2025-07-12,0.65
92,secure8197.net,domain,Auto-generated indicator,medium,2025-05-25,0.73
93,login624.info,domain,Auto-generated indicator,medium,2022-06-14,0.94
94,394058f78ca3077ae55b8cffede87296,hash,Auto-generated indicator,medium,2022-10-26,0.51
95,941571e0f081343eeba8e0250fa3be55,hash,Auto-generated indicator,medium,2023-05-26,0.69
96,139.86.6.185,ip,Auto-generated indicator,medium,2026-03-01,0.91
97,190.170.249.47,ip,Auto-generated indicator,low,2021-09-10,0.64
98,118.70.176.68,ip,Auto-generated indicator,high,2021-07-05,0.69
99,login6781.info,domain,Auto-generated indicator,low,2021-12-08,0.99
100,malicious5519.info,domain,Auto-generated indicator,low,2024-06-14,0.69
101,65.98.65.33,ip,Auto-generated indicator,medium,2025-04-28,0.59
102,193.152.173.209,ip,Auto-generated indicator,low,2025-10-12,0.62
103,a76cb392e83c316e71a0246e8795e015,hash,Auto-generated indicator,low,2025-11-14,0.97
104,228.188.88.152,ip,Auto-generated indicator,high,2024-08-31,0.75
105,secure1224.net,domain,Auto-generated indicator,high,2024-09-28,0.77
106,suspicious1703.info,domain,Auto-generated indicator,medium,2026-03-16,0.6
107,suspicious8072.net,domain,Auto-generated indicator,low,2025-05-30,0.92
108,247.177.76.97,ip,Auto-generated indicator,low,2023-11-18,0.93
109,3dec0843f764f7cf947cecab5d435f94,hash,Auto-generated indicator,medium,2021-11-06,0.98
110,update5700.net,domain,Auto-generated indicator,low,2026-01-28,0.5
111,189.109.237.195,ip,Auto-generated indicator,low,2021-06-02,0.78
112,10d30f9ac31c21ff3122d9d5a70432e9,hash,Auto-generated indicator,low,2023-11-08,0.57
113,accounts6877.org,domain,Auto-generated indicator,low,2025-09-17,0.51
114,98.221.193.5,ip,Auto-generated indicator,low,2023-04-10,0.82
115,c8699ab8ab693d3ec1b717dd5326eef3,hash,Auto-generated indicator,high,2020-11-25,0.83
116,suspicious2419.org,domain,Auto-generated indicator,low,2022-05-08,0.82
117,8.74.158.49,ip,Auto-generated indicator,low,2026-01-04,0.93
118,benign9866.com,domain,Auto-generated indicator,medium,2026-01-14,0.72
119,42.163.3.163,ip,Auto-generated indicator,low,2021-12-11,0.98
120,244.209.212.240,ip,Auto-generated indicator,medium,2022-09-24,0.86
121,update5812.com,domain,Auto-generated indicator,low,2025-04-02,0.86
122,malicious8001.com,domain,Auto-generated indicator,critical,2023-06-27,0.88
123,22.2.31.229,ip,Auto-generated indicator,medium,2021-07-01,0.79
124,c13b0aea9ed5e803f7091712643b0d84,hash,Auto-generated indicator,low,2022-11-08,0.91
125,portal9056.com,domain,Auto-generated indicator,medium,2021-02-24,0.63
126,db691544c8cba1fe99aa8933efd646f0,hash,Auto-generated indicator,medium,2023-06-17,0.79
127,login2595.org,domain,Auto-generated indicator,low,2023-12-17,0.6
128,e94fedc6bdcfd9936ebe4ed3f19f8bda,hash,Auto-generated indicator,low,2024-10-18,0.62
129,portal1557.net,domain,Auto-generated indicator,high,2021-01-10,0.58
130,a409a917e9a581973acfb256d643f948,hash,Auto-generated indicator,low,2025-08-30,0.76
131,6.225.101.88,ip,Auto-generated indicator,high,2024-09-10,0.6
132,benign8919.org,domain,Auto-generated indicator,low,2025-02-18,0.64
133,benign2107.info,domain,Auto-generated indicator,medium,2023-12-16,0.97
134,malicious9602.org,domain,Auto-generated indicator,low,2025-07-01,0.8
135,138.207.24.80,ip,Auto-generated indicator,high,2025-04-18,0.6
136,login6557.info,domain,Auto-generated indicator,medium,2024-09-30,0.67
137,46f574a7d5fe7eefb103031ec63828d2,hash,Auto-generated indicator,high,2024-02-08,0.74
138,35f569f1792018420bb180f00dd0428f,hash,Auto-generated indicator,medium,2022-04-09,0.66
139,239.124.223.208,ip,Auto-generated indicator,high,2026-02-20,0.42
140,portal4485.info,domain,Auto-generated indicator,low,2022-07-19,0.75
141,login5764.org,domain,Auto-generated indicator,high,2024-09-22,0.85
142,153.199.166.156,ip,Auto-generated indicator,low,2023-04-17,0.7
143,125.188.51.239,ip,Auto-generated indicator,low,2026-03-14,0.78
144,secure5368.org,domain,Auto-generated indicator,medium,2021-09-07,0.59
145,069582cbe7fd3dfae00fad6fa18b5563,hash,Auto-generated indicator,low,2023-02-04,0.74
146,243.173.140.188,ip,Auto-generated indicator,medium,2021-08-19,0.6
147,18.224.146.106,ip,Auto-generated indicator,high,2023-02-08,0.57
148,65cf91ab6e7243a8ea0b97e5904add51,hash,Auto-generated indicator,medium,2024-02-18,0.53
149,6.15.14.158,ip,Auto-generated indicator,medium,2024-09-20,0.63
150,200.175.235.196,ip,Auto-generated indicator,low,2024-03-29,0.85
151,186.20.12.253,ip,Auto-generated indicator,low,2022-01-12,0.76
152,secure321.com,domain,Auto-generated indicator,low,2021-09-25,0.88
153,portal883.net,domain,Auto-generated indicator,low,2023-04-27,0.89
154,58ef1421e5ed24e7122047f3447aa09e,hash,Auto-generated indicator,medium,2024-02-05,0.76
155,benign25.com,domain,Auto-generated indicator,low,2024-06-27,0.67
156,217.188.54.19,ip,Auto-generated indicator,medium,2023-03-10,0.68
157,suspicious5616.net,domain,Auto-generated indicator,critical,2022-10-08,0.64
158,e9a2f787406fc9c327b6badba727e3c8,hash,Auto-generated indicator,medium,2023-07-05,0.62
159,9844743a2ab46db387c78a635d520ee4,hash,Auto-generated indicator,low,2021-04-18,0.67
160,171.31.134.105,ip,Auto-generated indicator,low,2021-08-22,0.87
161,suspicious8203.info,domain,Auto-generated indicator,low,2022-10-04,0.57
162,11c8e6615223b6eeb454ef8f62a03127,hash,Auto-generated indicator,low,2021-03-05,0.82
163,update620.net,domain,Auto-generated indicator,low,2026-04-15,0.93
164,95.199.177.167,ip,Auto-generated indicator,medium,2025-02-17,0.57
165,portal4002.net,domain,Auto-generated indicator,medium,2021-06-30,0.72
166,2b4fa877ee9c4783c8519d94f05eebfb,hash,Auto-generated indicator,low,2021-11-27,0.65
167,122.110.211.78,ip,Auto-generated indicator,medium,2024-03-02,0.95
168,bbfc5cea25ff08c8d35d6541ca9901a4,hash,Auto-generated indicator,low,2021-06-19,0.43
169,638c35b031d333874b7bd79d39a08df4,hash,Auto-generated indicator,high,2022-01-25,0.94
170,b8e361d0927bd7ded8543b3d5dd5faad,hash,Auto-generated indicator,medium,2024-10-23,0.48
171,141910eea8abec35fc0fcdfef5ef44fb,hash,Auto-generated indicator,high,2024-02-08,0.44
172,169.125.210.72,ip,Auto-generated indicator,low,2022-08-15,0.64
173,5dd4b84704fec2fd4d3b050079f5b632,hash,Auto-generated indicator,low,2024-09-09,0.42
174,portal5375.net,domain,Auto-generated indicator,high,2024-12-21,0.45
175,68a0f24fca0ea8d6e64b8db5391b356e,hash,Auto-generated indicator,medium,2024-08-22,0.48
176,84.30.157.206,ip,Auto-generated indicator,low,2024-06-13,0.7
177,67.103.109.226,ip,Auto-generated indicator,low,2025-10-27,0.42
178,update6784.net,domain,Auto-generated indicator,low,2022-09-15,0.66
179,f14e9117fbe2f8d7c467d005a382c297,hash,Auto-generated indicator,low,2021-10-07,0.73
180,895707d3f303f95ffbea849ce34c2afa,hash,Auto-generated indicator,low,2023-06-23,0.53
181,141.229.164.59,ip,Auto-generated indicator,low,2023-09-17,0.79
182,a17dc68145392f08d0742ea986acc651,hash,Auto-generated indicator,critical,2025-02-15,0.58
183,portal6455.info,domain,Auto-generated indicator,low,2023-04-13,0.77
184,11.123.59.216,ip,Auto-generated indicator,low,2025-04-12,0.88
185,9d10b11a5aab5cadd6ec58e532d3be2d,hash,Auto-generated indicator,medium,2021-09-25,0.52
186,login2344.org,domain,Auto-generated indicator,high,2022-12-02,0.5
187,portal5834.net,domain,Auto-generated indicator,low,2026-03-25,0.98
188,suspicious3819.com,domain,Auto-generated indicator,medium,2021-06-02,0.97
189,13b29d3d762a781e3dea4bd953682b71,hash,Auto-generated indicator,low,2022-09-30,0.84
190,benign3998.info,domain,Auto-generated indicator,high,2025-09-28,0.61
191,124.211.159.150,ip,Auto-generated indicator,medium,2025-04-12,0.56
192,221089f8307bc7efd19b5d85566d2e3a,hash,Auto-generated indicator,medium,2026-04-07,0.47
193,4ce41286ca004aa989141ed9ae6efd02,hash,Auto-generated indicator,medium,2023-11-08,0.86
194,219.110.235.109,ip,Auto-generated indicator,low,2024-12-22,0.65
195,144.203.224.194,ip,Auto-generated indicator,low,2025-03-11,0.74
196,update6342.net,domain,Auto-generated indicator,low,2021-09-14,0.69
197,248.94.85.157,ip,Auto-generated indicator,low,2024-11-26,0.94
198,91532af48755c523d7a091e2b8271a47,hash,Auto-generated indicator,high,2025-12-30,0.73
199,malicious5463.com,domain,Auto-generated indicator,medium,2021-04-18,0.82
200,8ad9df794360ab7274c025a5cae73435,hash,Auto-generated indicator,low,2025-05-24,0.61
201,114.147.213.138,ip,Auto-generated indicator,low,2025-04-24,0.81
202,109.99.123.210,ip,Auto-generated indicator,high,2021-10-26,0.49
203,59.106.220.113,ip,Auto-generated indicator,medium,2024-07-09,0.83
204,3fa30563640ceeabbbed224e40fb531f,hash,Auto-generated indicator,medium,2021-11-14,0.98
205,de29574a29a0e1b1b7a206bdea817558,hash,Auto-generated indicator,low,2021-10-06,0.83
206,195.17.246.213,ip,Auto-generated indicator,low,2022-10-16,0.77
207,68cd5ba22b2fa5ed14040bbe7e69bc30,hash,Auto-generated indicator,high,2025-01-06,0.67
208,accounts1409.org,domain,Auto-generated indicator,high,2024-07-10,0.62
209,0e225f10e794e422e96cdc9af859a622,hash,Auto-generated indicator,low,2023-06-05,0.41
210,5254d8ed73a27a699fe12faa25a68795,hash,Auto-generated indicator,low,2022-08-08,0.49
211,196.74.119.120,ip,Auto-generated indicator,low,2024-09-09,0.41
212,228.161.87.154,ip,Auto-generated indicator,medium,2025-06-19,0.62
213,a74cd042923e7fee40786d5f3be9c2fc,hash,Auto-generated indicator,medium,2022-03-25,0.95
214,suspicious8056.com,domain,Auto-generated indicator,medium,2022-05-09,0.62
215,189.189.251.58,ip,Auto-generated indicator,low,2021-02-11,0.52
216,231.55.33.2,ip,Auto-generated indicator,low,2021-02-11,0.46
217,91.220.222.109,ip,Auto-generated indicator,medium,2023-01-01,0.6
218,portal4609.info,domain,Auto-generated indicator,low,2022-04-18,0.96
219,b595e0eefeb1e4dec16bdd50436d7c13,hash,Auto-generated indicator,low,2025-05-22,0.9
220,portal7290.net,domain,Auto-generated indicator,low,2023-06-04,0.76
221,130.217.248.44,ip,Auto-generated indicator,high,2024-01-20,0.66
222,update5871.com,domain,Auto-generated indicator,low,2025-11-05,0.73
223,portal1087.net,domain,Auto-generated indicator,high,2023-07-21,0.74
224,48e42447ef6f1e349bbbb7c41401cafd,hash,Auto-generated indicator,medium,2024-09-25,0.44
225,03bb518d9d3708306dc85625d141c35b,hash,Auto-generated indicator,low,2020-12-28,0.7
226,secure8019.com,domain,Auto-generated indicator,low,2021-07-14,0.99
227,127.34.189.114,ip,Auto-generated indicator,medium,2024-04-22,0.5
228,portal2337.org,domain,Auto-generated indicator,low,2024-05-12,0.48
229,223.117.87.131,ip,Auto-generated indicator,low,2025-03-05,0.97
230,ff1c1d051c88fc106d10d6627eb41bff,hash,Auto-generated indicator,low,2023-02-06,0.58
231,243.15.209.186,ip,Auto-generated indicator,medium,2022-04-30,0.91
232,benign5774.info,domain,Auto-generated indicator,medium,2021-02-25,0.98
233,d721b8e3b0396afc12bc83d501b8fa2d,hash,Auto-generated indicator,high,2021-12-28,0.45
234,3aeb13187aba1443f62c7ca8b85519ed,hash,Auto-generated indicator,low,2021-03-13,0.45
235,1809e8c8bec98261850877b993097875,hash,Auto-generated indicator,medium,2023-06-30,0.87
236,update6865.org,domain,Auto-generated indicator,low,2025-07-19,0.54
237,malicious6819.org,domain,Auto-generated indicator,low,2022-04-24,0.89
238,update7950.com,domain,Auto-generated indicator,low,2024-10-09,0.51
239,service5278.org,domain,Auto-generated indicator,high,2026-03-25,0.96
240,secure5241.info,domain,Auto-generated indicator,medium,2026-05-16,0.75
241,service5709.info,domain,Auto-generated indicator,low,2024-02-24,0.83
242,3e173578552dae5d2bf671b7b5669fe2,hash,Auto-generated indicator,medium,2025-08-07,0.69
243,suspicious9792.org,domain,Auto-generated indicator,critical,2026-05-12,0.95
244,1838d2473291d1e761911296e63f4219,hash,Auto-generated indicator,medium,2021-07-15,0.72
245,portal3230.info,domain,Auto-generated indicator,high,2026-05-02,0.78
246,193.16.225.164,ip,Auto-generated indicator,high,2025-08-27,0.98
247,088d003bef5f3264f69bceec161a6691,hash,Auto-generated indicator,medium,2025-02-08,0.65
248,benign6800.net,domain,Auto-generated indicator,low,2023-08-27,0.75
249,benign1335.org,domain,Auto-generated indicator,medium,2021-01-04,0.61
250,252.2.23.185,ip,Auto-generated indicator,low,2023-01-29,0.99
251,233.18.213.181,ip,Auto-generated indicator,medium,2021-10-26,0.57
252,64.159.113.41,ip,Auto-generated indicator,low,2021-06-08,0.86
253,suspicious8444.net,domain,Auto-generated indicator,low,2021-09-13,0.58
254,92f35596896e8c674478bab2efb1b88f,hash,Auto-generated indicator,low,2022-04-17,0.67
255,4f60cc17e8dfa7b4e46132c20b04dd27,hash,Auto-generated indicator,low,2024-10-26,0.92
256,91.186.76.184,ip,Auto-generated indicator,high,2024-04-10,0.87
257,login8657.info,domain,Auto-generated indicator,low,2022-03-11,0.64
258,100.217.142.7,ip,Auto-generated indicator,low,2021-12-17,0.71
259,f4a5c1850d2569275267c29433dd447a,hash,Auto-generated indicator,low,2021-03-23,0.75
260,53.54.81.34,ip,Auto-generated indicator,medium,2023-03-28,0.4
261,service4382.com,domain,Auto-generated indicator,medium,2021-11-20,0.48
262,benign1772.info,domain,Auto-generated indicator,high,2024-12-18,0.66
263,250.66.172.53,ip,Auto-generated indicator,low,2023-12-21,0.77
264,241.143.221.133,ip,Auto-generated indicator,low,2026-05-15,0.93
265,7b41a6787139973e6f1f7402057178df,hash,Auto-generated indicator,high,2025-04-21,0.53
266,d8385ebc4762d7bb724b1061d7a27796,hash,Auto-generated indicator,low,2023-04-11,0.63
267,51789822c2b695de242505441ec98876,hash,Auto-generated indicator,medium,2023-01-23,0.94
268,129.105.7.32,ip,Auto-generated indicator,low,2024-02-11,0.85
269,benign7321.com,domain,Auto-generated indicator,low,2023-06-07,0.47
270,suspicious5188.com,domain,Auto-generated indicator,low,2026-01-21,0.75
271,service8964.com,domain,Auto-generated indicator,low,2025-03-29,0.98
272,service6886.info,domain,Auto-generated indicator,low,2020-11-24,0.9
273,benign9583.org,domain,Auto-generated indicator,low,2023-05-16,0.8
274,99.28.115.37,ip,Auto-generated indicator,medium,2023-03-02,0.43
275,38.24.232.16,ip,Auto-generated indicator,critical,2023-08-05,0.74
276,148.33.233.127,ip,Auto-generated indicator,low,2022-05-03,0.48
277,fecdae87ab98ac66e8f5a068aeb8fe1d,hash,Auto-generated indicator,low,2026-04-04,0.81
278,malicious1557.com,domain,Auto-generated indicator,high,2023-01-25,0.95
279,222.81.15.191,ip,Auto-generated indicator,high,2021-09-09,0.82
280,secure4008.info,domain,Auto-generated indicator,low,2021-08-27,0.6
281,209.184.10.180,ip,Auto-generated indicator,low,2025-03-07,0.43
282,217.233.22.127,ip,Auto-generated indicator,low,2024-03-05,0.87
283,benign402.com,domain,Auto-generated indicator,low,2025-04-15,0.52
284,4c720e0ea6e9601c3b58c752e6907375,hash,Auto-generated indicator,medium,2023-02-24,0.78
285,140.88.251.45,ip,Auto-generated indicator,low,2025-06-30,0.62
286,db2392b4f825e7df5e0b7b9dce7c74f0,hash,Auto-generated indicator,low,2025-11-15,0.6
287,fa778648b45cd71aa3a68b0331f8683d,hash,Auto-generated indicator,high,2022-04-13,0.94
288,162.120.74.71,ip,Auto-generated indicator,low,2021-10-28,0.62
289,malicious2739.info,domain,Auto-generated indicator,low,2024-07-27,0.85
290,130.115.206.105,ip,Auto-generated indicator,critical,2022-06-04,0.46
291,85.172.33.242,ip,Auto-generated indicator,medium,2024-09-24,0.54
292,185.149.146.86,ip,Auto-generated indicator,low,2025-04-02,0.75
293,accounts4747.info,domain,Auto-generated indicator,medium,2023-05-14,0.83
294,service6359.info,domain,Auto-generated indicator,low,2025-09-02,0.71
295,494f5871a5f36384d8dd8df565206a00,hash,Auto-generated indicator,medium,2022-04-24,0.95
296,secure2304.com,domain,Auto-generated indicator,high,2023-09-27,0.54
297,update4658.org,domain,Auto-generated indicator,low,2023-03-01,0.63
298,abaf400d294b6d9c01bef414332bf5d3,hash,Auto-generated indicator,critical,2023-12-26,0.68
299,76.36.168.17,ip,Auto-generated indicator,critical,2022-11-04,0.9
300,accounts8767.net,domain,Auto-generated indicator,medium,2024-11-20,0.61
301,250.242.172.229,ip,Auto-generated indicator,low,2021-05-13,0.83
302,update7443.info,domain,Auto-generated indicator,medium,2021-11-08,0.99
303,fa92e5f3ae0951dd787b25a6ec20763a,hash,Auto-generated indicator,low,2021-03-19,0.7
304,95fd478798d506da8f96eea233c3cead,hash,Auto-generated indicator,low,2024-10-15,0.93
305,8af183e0c81fe27a521b94e309615eac,hash,Auto-generated indicator,high,2022-11-13,0.95
306,574ef3c2a3ac393831c5747f3790073f,hash,Auto-generated indicator,low,2025-02-26,0.42
307,5dc5fee871a95d7c2f9d3af36bf17da1,hash,Auto-generated indicator,low,2025-09-22,0.48
308,1f302aa1aa593baee6171ba476567b87,hash,Auto-generated indicator,critical,2022-05-01,0.97
309,218bbd6c463977a5b83110572a4d2f7e,hash,Auto-generated indicator,low,2023-11-28,0.87
310,malicious6417.net,domain,Auto-generated indicator,low,2023-09-09,0.86
311,update5991.net,domain,Auto-generated indicator,critical,2022-02-08,0.49
312,238.116.136.229,ip,Auto-generated indicator,medium,2021-07-28,0.68
313,65.198.109.184,ip,Auto-generated indicator,low,2024-11-22,0.98
314,update1803.net,domain,Auto-generated indicator,low,2023-10-19,0.56
315,157.189.204.37,ip,Auto-generated indicator,high,2020-11-28,0.76
316,9940c1c73b0ece227f61c64cefd0fd55,hash,Auto-generated indicator,low,2024-08-24,0.43
317,82d903056c0b8521970be4dfce4fa022,hash,Auto-generated indicator,medium,2023-05-13,0.9
318,5dcbcf1eec2b0d0c2262df7b26c8cb4c,hash,Auto-generated indicator,medium,2025-09-29,0.55
319,037425e031471904e776d6de13e20890,hash,Auto-generated indicator,medium,2025-04-24,0.78
320,a90fc750f088bbe0e92bc8016314d111,hash,Auto-generated indicator,high,2021-08-17,0.89
321,24.35.195.234,ip,Auto-generated indicator,high,2025-08-02,0.52
322,24.35.54.172,ip,Auto-generated indicator,low,2021-02-19,0.67
323,6b55096868045efc8e847cdf5dd8b724,hash,Auto-generated indicator,low,2023-11-20,0.63
324,benign8360.com,domain,Auto-generated indicator,low,2026-04-23,0.52
325,227.91.28.77,ip,Auto-generated indicator,low,2024-01-30,0.79
326,8311f3f7508098e4b3ddcb690e131e74,hash,Auto-generated indicator,medium,2022-12-04,0.56
327,secure4236.org,domain,Auto-generated indicator,medium,2021-01-20,0.48
328,114.40.38.68,ip,Auto-generated indicator,low,2023-05-02,0.74
329,0b74e2e3679ddc7a4b8911e87fe3f7d6,hash,Auto-generated indicator,low,2023-06-20,0.85
330,accounts2146.net,domain,Auto-generated indicator,medium,2025-11-10,0.94
331,168.166.219.57,ip,Auto-generated indicator,low,2023-01-10,0.4
332,696d0b71a076b25125c0bc876707d40b,hash,Auto-generated indicator,high,2025-10-30,0.78
333,secure2429.info,domain,Auto-generated indicator,low,2022-05-19,0.64
334,service1139.org,domain,Auto-generated indicator,low,2021-05-09,0.48
335,198.86.122.236,ip,Auto-generated indicator,medium,2023-10-18,0.45
336,10.158.14.146,ip,Auto-generated indicator,critical,2022-04-27,0.93
337,cde77b3b5702fa4e269bbf11a2067f0f,hash,Auto-generated indicator,low,2024-03-31,0.67
338,167.78.147.12,ip,Auto-generated indicator,low,2026-02-03,0.76
339,cebf9f69c488758aa0f7bf27985476a0,hash,Auto-generated indicator,low,2026-04-10,0.49
340,198.221.232.16,ip,Auto-generated indicator,medium,2023-08-24,0.66
341,secure6878.com,domain,Auto-generated indicator,low,2022-10-13,0.46
342,135.40.74.16,ip,Auto-generated indicator,medium,2023-12-09,0.81
343,6.214.133.213,ip,Auto-generated indicator,low,2023-04-10,0.78
344,bab47ee11b7aa88f6b42d1bd379dd21a,hash,Auto-generated indicator,medium,2021-01-10,0.62
345,597daae95cd600dc023216da9e153a9a,hash,Auto-generated indicator,low,2021-09-16,0.92
